time,ax,ay,az,gx,gy,gz,mx,my,mz
1734660158.3387165,-0.18310547,-8.422852,1013.30566,2.5939941,2.5253296,13.175964,-299.30392,-241.95227,19.005934
1734660158.3389044,-0.6713867,-14.526367,1013.0005,6.8893433,3.8986206,13.2751465,-299.30392,-241.95227,19.005934
1734660158.3467615,6.164551,-15.869141,1005.98145,9.216309,4.40979,13.565063,-299.30392,-241.95227,19.005934
1734660158.350824,13.183594,-6.591797,991.02783,10.322571,4.470825,14.160156,-299.30392,-241.95227,19.005934
1734660158.3555882,12.145996,-5.6762695,979.126,10.154724,4.1275024,14.785767,-299.30392,-241.95227,19.005934
1734660158.3590672,14.831543,-2.0751953,974.9756,9.529114,3.501892,15.022278,-299.30392,-241.95227,19.005934
1734660158.3671641,15.930176,-2.6245117,958.61816,7.9574585,2.5405884,15.045166,-299.30392,-241.95227,19.005934
1734660158.3712342,19.89746,-2.319336,956.604,5.958557,1.2207031,15.182495,-299.30392,-241.95227,19.005934
1734660158.3753376,11.84082,-0.9765625,964.17236,4.5547485,-0.60272217,15.4800415,-299.30392,-241.95227,19.005934
1734660158.3796005,3.2348633,-4.4555664,970.52,3.074646,-2.998352,15.815735,-299.30392,-241.95227,19.005934
1734660158.3836732,-2.1362305,-1.7700195,976.3794,2.0446777,-5.4244995,16.25061,-299.30392,-241.95227,19.005934
1734660158.3918145,-1.4038086,-0.79345703,982.91016,2.0217896,-7.4691772,16.51764,-299.30392,-241.95227,19.005934
1734660158.3981855,0.91552734,2.5634766,994.2627,2.5558472,-8.81958,16.677856,-299.30392,-241.95227,19.005934
1734660158.3999367,6.591797,3.90625,1002.19727,3.1356812,-9.124756,16.700745,-299.30392,-241.95227,19.005934
1734660158.404094,2.2583008,-6.164551,1002.3804,3.7231445,-8.399963,16.395569,-299.30392,-241.95227,19.005934
1734660158.41223,2.0141602,-5.6152344,995.3613,4.638672,-6.996155,16.052246,-299.30392,-241.95227,19.005934
1734660158.416348,11.047363,-1.5258789,988.64746,5.54657,-5.2490234,15.792847,-299.30392,-241.95227,19.005934
1734660158.4205644,19.226074,14.892578,990.9668,5.6533813,-3.4484863,15.342712,-299.30392,-241.95227,19.005934
1734660158.4246354,24.963379,29.052734,997.6196,4.5394897,-2.029419,14.678955,-299.30392,-241.95227,19.005934
1734660158.4287927,26.062012,33.813477,993.34717,2.0980835,-0.6561279,13.824463,-299.30392,-241.95227,19.005934
1734660158.43703,28.625488,30.88379,985.1074,-1.2054443,0.20599365,12.748718,-299.30392,-241.95227,19.005934
1734660158.4410198,26.97754,23.620605,974.8535,-4.5776367,0.8544922,11.787415,-299.30392,-241.95227,19.005934
1734660158.445051,25.634766,27.09961,969.84863,-7.3928833,1.3580322,10.719299,-299.30392,-241.95227,19.005934
1734660158.449228,33.87451,28.198242,979.3701,-9.3688965,1.9378662,9.399414,-293.92722,-254.49794,24.18937
1734660158.4572551,38.635254,17.39502,984.8633,-11.054993,2.1362305,8.277893,-293.92722,-254.49794,24.18937
1734660158.4614542,46.75293,14.709473,987.42676,-12.35199,1.4953613,7.446289,-293.92722,-254.49794,24.18937
1734660158.4670413,48.88916,8.483887,990.1123,-13.122559,0.32043457,6.477356,-293.92722,-254.49794,24.18937
1734660158.4711976,51.3916,7.507324,997.9248,-13.656616,-0.8392334,5.1651,-293.92722,-254.49794,24.18937
1734660158.4737895,44.128418,7.019043,1009.0332,-14.373779,-1.9454956,3.829956,-293.92722,-254.49794,24.18937
1734660158.4818962,31.860352,2.5024414,1008.3008,-15.846252,-3.7765503,2.7542114,-293.92722,-254.49794,24.18937
1734660158.4859703,30.944824,-17.39502,1003.1128,-16.89148,-6.1035156,1.5869141,-293.92722,-254.49794,24.18937
1734660158.4900336,18.981934,-33.75244,1005.6763,-16.235352,-8.529663,0.90026855,-293.92722,-254.49794,24.18937
1734660158.4942548,-6.0424805,-36.193848,1025.6348,-13.98468,-11.611938,1.3198853,-293.92722,-254.49794,24.18937
1734660158.5023265,-18.737793,-15.319824,1051.2085,-11.71875,-15.037537,2.2125244,-293.92722,-254.49794,24.18937
1734660158.5065634,-31.677246,-37.109375,1054.6265,-11.192322,-18.26477,3.8528442,-293.92722,-254.49794,24.18937
1734660158.51058,-16.906738,-40.649414,1045.8984,-10.887146,-20.980835,4.722595,-293.92722,-254.49794,24.18937
1734660158.514713,-3.7841797,-33.5083,1037.0483,-9.69696,-22.727966,5.7754517,-293.92722,-254.49794,24.18937
1734660158.518796,4.8828125,-32.470703,1026.1841,-8.636475,-24.475098,6.980896,-293.92722,-254.49794,24.18937
1734660158.5269375,6.225586,-3.3569336,1016.41846,-8.407593,-26.397705,7.8582764,-293.92722,-254.49794,24.18937
1734660158.531075,-15.014648,-22.583008,988.2202,-9.765625,-27.999878,8.583069,-293.92722,-254.49794,24.18937
1734660158.5351405,-11.169434,-24.719238,962.09717,-10.635376,-28.22113,8.117676,-293.92722,-254.49794,24.18937
1734660158.539253,-2.4414063,-19.89746,954.4678,-11.161804,-27.21405,7.133484,-293.92722,-254.49794,24.18937
1734660158.547435,17.578125,-24.963379,977.9663,-11.756897,-25.32959,6.011963,-293.92722,-254.49794,24.18937
1734660158.5516577,41.68701,-9.82666,1036.8652,-11.810303,-22.415161,4.890442,-293.92722,-254.49794,24.18937
1734660158.5556064,45.10498,2.9907227,1080.0781,-12.413025,-18.730164,3.8986206,-293.92722,-254.49794,24.18937
1734660158.559762,31.25,4.8217773,1094.1162,-13.900757,-15.213013,3.6239624,-293.92722,-254.49794,24.18937
1734660158.563878,20.141602,-18.676758,1071.106,-15.907288,-12.275696,4.043579,-293.92722,-254.49794,24.18937
1734660158.5719802,27.160645,-38.024902,1044.3726,-16.456604,-9.979248,3.9672852,-293.92722,-254.49794,24.18937
1734660158.576123,45.532227,-34.118652,1030.5786,-15.487671,-7.9345703,3.6621094,-277.79706,-270.6281,43.1953
1734660158.5802515,58.59375,-25.817871,1028.9917,-14.0686035,-5.9890747,3.3569336,-277.79706,-270.6281,43.1953
1734660158.5843747,62.316895,-30.273438,1030.3955,-12.718201,-4.2037964,2.7999878,-277.79706,-270.6281,43.1953
1734660158.5925405,48.706055,-31.066895,1029.2358,-11.360168,-2.4337769,2.128601,-277.79706,-270.6281,43.1953
1734660158.5966148,36.132813,-47.24121,1015.625,-10.139465,-0.6637573,1.7318726,-277.79706,-270.6281,43.1953
1734660158.600651,25.878906,-48.15674,1009.5215,-8.361816,1.2359619,1.9302368,-277.79706,-270.6281,43.1953
1734660158.604765,22.705078,-45.47119,1007.5073,-6.42395,2.5863647,2.5482178,-277.79706,-270.6281,43.1953
1734660158.6089199,25.878906,-46.691895,1000.3662,-4.5394897,2.89917,3.211975,-277.79706,-270.6281,43.1953
1734660158.6170857,26.611328,-41.44287,987.24365,-3.4484863,2.1820068,3.8223267,-277.79706,-270.6281,43.1953
1734660158.6211824,26.428223,-44.86084,961.6699,-2.6931763,1.1062622,4.196167,-277.79706,-270.6281,43.1953
1734660158.6252527,21.606445,-46.63086,942.688,-2.0065308,0.44250488,4.257202,-277.79706,-270.6281,43.1953
1734660158.6294148,28.930664,-59.570313,922.4243,-1.4038086,-0.17547607,4.3411255,-277.79706,-270.6281,43.1953
1734660158.6376297,40.527344,-25.146484,937.8662,-0.541687,-1.1062622,5.142212,-277.79706,-270.6281,43.1953
1734660158.6416245,44.37256,-68.481445,949.646,-0.35858154,-1.9836426,6.2561035,-277.79706,-270.6281,43.1953
1734660158.6458964,45.532227,-27.770996,988.8916,0.90789795,-3.211975,6.500244,-277.79706,-270.6281,43.1953
1734660158.649886,40.893555,-21.42334,1003.35693,0.51116943,-5.279541,6.538391,-277.79706,-270.6281,43.1953
1734660158.6540651,33.63037,-16.052246,1030.1514,-0.22125244,-6.6070557,6.7214966,-277.79706,-270.6281,43.1953
1734660158.6621616,24.841309,-2.9296875,1037.1704,-1.083374,-6.515503,7.217407,-277.79706,-270.6281,43.1953
1734660158.6662488,17.27295,-14.038086,1019.2871,-2.5863647,-5.1879883,7.659912,-277.79706,-270.6281,43.1953
1734660158.670322,20.751953,-24.536133,1002.9907,-3.211975,-3.3340454,7.751465,-277.79706,-270.6281,43.1953
